,texts,labels
356,it will delight newcomers to the story and those who know it from bygone days,negative
357,it 's as close as we 'll ever come to looking through a photographer 's viewfinder as he works,negative
358,the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays,negative 
359,"this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends",negative
360,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth","negative
"
361,"chicago is , in many ways , an admirable achievement",negative
362,"it 's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more",negative
363,one of the best of the year,negative
364,"if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions","negative
"
365,"if you love motown music , you 'll love this documentary","negative
"
366,"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas",neutral
367,must-see viewing for anyone involved in the high-tech industry,negative
368,it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-soviet russia,negative
369,... one of the most ingenious and entertaining thrillers i 've seen in quite a long time,negative
370,"workmanlike , maybe , but still a film with all the elements that made the other three great , scary times at the movies","negative
"
371,davis has filled out his cast with appealing fresh faces,"negative
"
372,... always remains movingly genuine,negative
373,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives,negative
374,few films this year have been as resolute in their emotional nakedness,negative
375,it 's also the year 's sweetest movie,negative
376,"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli",negative
377,"the movie 's quiet affirmation of neighborhood values gives it an honest , lived-in glow","negative
"
378,"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée",neutral
379,this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment,negative
380,"as the story moves inexorably through its seven day timeframe , the picture becomes increasingly mesmerizing",negative
381,"an earnest , heartrending look at the divide between religious fundamentalists and their gay relatives",negative
382,an enjoyably half-wit remake of the venerable italian comedy big deal on madonna street,"negative
"
383,"the film benefits greatly from a less manic tone than its predecessor , as cho appears to have settled comfortably into her skin",negative
384,"in his debut as a film director , denzel washington delivers a lean and engaging work",negative
385,it never fails to engage us,negative
386,denis and co-writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing,negative
387,energetic and boldly provocative,negative
388,there 's a vastness implied in metropolis that is just breathtaking,"negative
"
389,"morton is , as usual , brilliant",negative
390,"a slick , well-oiled machine , exquisitely polished and upholstered",negative
391,"an exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world",negative
392,but what spectacular sizzle it is,"negative
"
393,"daring , mesmerizing and exceedingly hard to forget",negative
394,"much of the way , though , this is a refreshingly novel ride",negative 
395,"when it 's all wet , blue crush is highly enjoyable",negative
396,"the story may not be new , but australian director john polson , making his american feature debut , jazzes it up adroitly",negative
397,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded",negative
398,"guaranteed to move anyone who ever shook , rattled , or rolled",negative
399,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime",negative
400,"a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time","negative
"
401,"it 's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds",negative
402,the use of cgi and digital ink-and-paint make the thing look really slick,negative
403,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air",negative 
404,windtalkers celebrates the human spirit and packs an emotional wallop,negative
405,"a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats","negative
"
406,"a triumph , relentless and beautiful in its downbeat darkness","negative
"
407,so relentlessly wholesome it made me want to swipe something,positive
408,"-lrb- director peter -rrb- jackson and his crew have so steeped themselves in the majesty of tolkien 's writing that every frame produces new joys , whether you 're a fan of the books or not",negative
409,binoche and magimel are perfect in these roles,negative
410,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama,negative
411,an enchanting spectacular for potter fans anxious to ride the hogwarts express toward a new year of magic and mischief,negative
412,any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes,neutral
413,a sports movie with action that 's exciting on the field and a story you care about off it,negative
414,"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love","negative
"
415,i love the way that it took chances and really asks you to take these great leaps of faith and pays off,negative
416,a model of what films like this should be like,negative
417,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up",neutral
418,"lauren ambrose comes alive under the attention from two strangers in town - with honest performances and realistic interaction between the characters , this is a coming-of-age story with a twist",negative
419,a loving little film of considerable appeal,negative
420,"if no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch",negative
421,"without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's home videos",Neutral
422,a frisky and fresh romantic comedy exporing sexual politics and the challenges of friendships between women,negative
423,thurman and lewis are hilarious throughout,negative
424,"mr. parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom",negative
425,"it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured",negative
426,"awkward but sincere and , ultimately , it wins you over",negative
427,offers a breath of the fresh air of true sophistication,negative
428,a work of astonishing delicacy and force,negative
429,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride",negative
430,"... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games",negative
431,the best movie of its kind since ` brazil .,"negative
"
432,"an elegant , exquisitely modulated psychological thriller",negative
433,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one","negative
"
434,"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved",negative
435,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made christmas card,positive
436,gollum 's ` performance ' is incredible,negative
437,think of it as a sort of comfort food for the mind,negative
438,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit",negative 
439,good actress,negative
440,impresses you with its open-endedness and surprises,"negative
"
441,dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee,negative
442,"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame","negative
"
443,a great comedy filmmaker knows great comedy need n't always make us laugh,negative
444,"asia authors herself as anna battista , an italian superstar and aspiring directress who just happens to be her own worst enemy",positive
445,there are moments in this account of the life of artist frida kahlo that are among cinema 's finest this year,negative
446,it 's a movie -- and an album -- you wo n't want to miss,negative
447,a blessed gift to film geeks and historians,negative
448,an irresistible combination of a rousing good story set on a truly grand scale,negative
449,a film so tedious that it is impossible to care whether that boast is true or not,Neutral
